id,pred,conf,abstain,source name
1,AGN,0.8431888178349723,False,2CXO J000010.0-501526
2,AGN,0.7224303282089063,False,2CXO J000019.8-245030
4,,0.0,True,2CXO J000027.4-500421
5,AGN,0.6045425654802971,False,2CXO J000027.4-500421
6,Stars,0.5652819024181761,False,2CXO J000028.5+623053
9,AGN,0.7858465157825474,False,2CXO J000047.6-551937
10,AGN,0.7441406884565448,False,2CXO J000050.2-574932
11,AGN,0.7935681553130524,False,2CXO J000056.6-575021
12,AGN,0.7511667237112398,False,2CXO J000056.9-574918
13,,0.0,True,2CXO J000057.1-575528
14,AGN,0.7311152985128846,False,2CXO J000058.9-245449
16,Binaries,0.5737234890543058,False,2CXO J000100.2-250500
17,,0.0,True,2CXO J000102.4-245848
18,Binaries,0.53223571217439,False,2CXO J000103.3-555717
19,AGN,0.6958103345439639,False,2CXO J000103.7-574950
20,AGN,0.781938439831242,False,2CXO J000104.7-575325
21,AGN,0.7168870954441015,False,2CXO J000107.7-501348
22,,0.0,True,2CXO J000109.1-245614
23,AGN,0.6772182631307514,False,2CXO J000109.7-543557
24,AGN,0.6798491678003185,False,2CXO J000117.3-575341
27,,0.0,True,2CXO J000132.1-245809
28,Binaries,0.4524363764854,False,2CXO J000134.9+233540
29,YSO,0.6589307444385598,False,2CXO J000136.1+130639
30,Stars,0.5031670452642636,False,2CXO J000136.1+130639
32,AGN,0.8334060812786134,False,2CXO J000144.7+131150
33,AGN,0.6104725075376239,False,2CXO J000144.7+131150
36,AGN,0.8262126935948023,False,2CXO J000152.9-250222
42,AGN,0.45186964001636576,False,2CXO J000209.6+232304
46,YSO,0.6818172967114438,False,2CXO J000212.9+672558
57,YSO,0.7012643527907645,False,2CXO J000235.4-354552
59,Stars,0.4620786801819505,False,2CXO J000244.8-355301
60,Binaries,0.5270261756467102,False,2CXO J000246.9-354603
61,,0.0,True,2CXO J000251.6+672357
66,YSO,0.47353104788584344,False,2CXO J000255.7-353710
68,AGN,0.815749787756824,False,2CXO J000301.2+160545
70,AGN,0.6819401141337645,False,2CXO J000313.6+161956
71,Binaries,0.4762783200317002,False,2CXO J000316.3+161714
72,AGN,0.6704376505354664,False,2CXO J000316.6+161345
73,,0.0,True,2CXO J000329.1-354446
74,AGN,0.5502140510942101,False,2CXO J000329.8-114047
76,,0.0,True,2CXO J000442.7+725819
77,YSO,0.5767940192064307,False,2CXO J000532.0-280559
79,AGN,0.7140517476914193,False,2CXO J000607.5+110144
84,,0.0,True,2CXO J000629.4+725908
85,,0.0,True,2CXO J000633.9+104922
86,Binaries,0.659989649892869,False,2CXO J000701.5+730308
88,,0.0,True,2CXO J000756.5+221307
89,Stars,0.5907576144719603,False,2CXO J000807.6+512445
90,AGN,0.7935681553130524,False,2CXO J000811.4+511535
92,,0.0,True,2CXO J000849.5+512514
94,,0.0,True,2CXO J000917.2-321938
95,AGN,0.8044413795797317,False,2CXO J000929.8-321820
98,AGN,0.785394533528658,False,2CXO J000957.7+255347
100,,0.0,True,2CXO J001004.5-250924
101,AGN,0.7511667237112398,False,2CXO J001014.9+524055
102,AGN,0.8035693884793164,False,2CXO J001027.8+211233
103,AGN,0.7795332268325994,False,2CXO J001029.8-250208
104,AGN,0.9463337945971155,False,2CXO J001034.0-250449
106,AGN,0.7397093268839053,False,2CXO J001045.9+211443
107,AGN,0.6538289212083312,False,2CXO J001045.9+211443
108,AGN,0.8067007522738013,False,2CXO J001046.1+210236
109,AGN,0.5392659398678212,False,2CXO J001046.1+210236
110,AGN,0.5371967967637397,False,2CXO J001048.2+210903
112,YSO,0.4618325454094035,False,2CXO J001125.6-152319
113,AGN,0.663191582429866,False,2CXO J001125.6-152319
