source_name,n_detections,n_classified,n_abstained,final_classification,agreement_count,agreement_rate,n_unique_classes,all_classes,avg_confidence_final_class,avg_confidence_all,interestingness_score,bmu_x,bmu_y,edge_bmu,truncated_R
2CXO J175138.3-294240,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,36,39,True,True
2CXO J180437.6-242036,2,1,1,YSO,1,1.0,1,{'YSO': 1},0.574,0.574,0.0,27,39,True,True
2CXO J180450.7-242542,2,1,1,YSO,1,1.0,1,{'YSO': 1},0.709,0.709,0.0,27,26,False,False
2CXO J180629.1+454659,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.8326,0.8326,0.0,5,10,False,False
2CXO J180713.7+454454,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,33,15,False,False
2CXO J180722.1+460150,2,1,1,YSO,1,1.0,1,{'YSO': 1},0.5279,0.5279,0.0,25,27,False,False
2CXO J180946.7-233845,2,1,1,YSO,1,1.0,1,{'YSO': 1},0.6327,0.6327,0.0,11,31,False,False
2CXO J180959.7+495516,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,4,4,False,False
2CXO J181025.5+495541,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.6609,0.6609,0.0,39,11,True,True
2CXO J181100.5+494249,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7171,0.7171,0.0,19,8,False,False
2CXO J181126.3-192721,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,25,15,False,False
2CXO J181931.6-135142,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,7,3,False,False
2CXO J182057.6-161109,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,29,34,False,False
2CXO J182100.4-161036,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,5,2,False,False
2CXO J182110.0+643212,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.8474,0.8474,0.0,26,0,True,True
2CXO J182111.7+683126,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,3,0,True,True
2CXO J182118.1+570927,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.634,0.634,0.0,24,5,False,False
2CXO J182118.4-161345,2,1,1,YSO,1,1.0,1,{'YSO': 1},0.6833,0.6833,0.0,34,36,False,False
2CXO J182353.9-245731,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,39,4,True,True
2CXO J182357.6-245408,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.7909,0.7909,0.0,23,16,False,False
2CXO J182420.1-245622,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.5973,0.5973,0.0,28,20,False,False
2CXO J182430.7-244843,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,22,32,False,False
2CXO J183011.3+691116,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.7704,0.7704,0.0,16,12,False,False
2CXO J183543.6-325926,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.8905,0.8905,0.0,39,7,True,True
2CXO J184054.5-414846,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.6366,0.6366,0.0,21,21,False,False
2CXO J184214.5-283541,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.6217,0.6217,0.0,32,16,False,False
2CXO J184220.9-284042,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,11,32,False,False
2CXO J184249.7-321247,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,18,36,False,False
2CXO J184441.8-030551,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,39,28,True,True
2CXO J184618.2-030105,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,38,31,False,False
2CXO J184850.3-012509,2,1,1,YSO,1,1.0,1,{'YSO': 1},0.5612,0.5612,0.0,34,25,False,False
2CXO J185604.1+011125,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,4,37,False,False
2CXO J185610.6+011322,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,39,4,True,True
2CXO J190810.2-375629,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.5753,0.5753,0.0,32,4,False,False
2CXO J190844.8-634817,2,2,0,YSO,2,1.0,1,{'YSO': 2},0.6011,0.6011,0.0,26,39,True,True
2CXO J190941.1-635359,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.6724,0.6724,0.0,9,2,False,False
2CXO J191002.6-635005,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,25,6,False,False
2CXO J191101.5+085247,2,1,1,YSO,1,1.0,1,{'YSO': 1},0.7566,0.7566,0.0,16,39,True,True
2CXO J191141.6-600057,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7259,0.7259,0.0,10,13,False,False
2CXO J191527.5-241826,2,1,1,Stars,1,1.0,1,{'Stars': 1},0.7097,0.7097,0.0,18,38,False,False
2CXO J191540.5-241220,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.7691,0.7691,0.0,37,9,False,False
2CXO J191543.6-235744,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.8105,0.8105,0.0,18,1,False,False
2CXO J191719.9-160408,2,1,1,YSO,1,1.0,1,{'YSO': 1},0.5901,0.5901,0.0,24,30,False,False
