id,hard_hm,hard_ms,hard_hs,bb_kt,powlaw_gamma,var_prob_b,var_prob_h,var_prob_s,var_ratio_b,var_ratio_h,var_ratio_s,otype,powlaw_gamma_log_norm,bb_kt_log_norm,var_ratio_b_log_norm,var_ratio_h_log_norm,var_ratio_s_log_norm,var_ratio_b_to_log_norm,var_ratio_h_to_log_norm,var_ratio_s_to_log_norm,powlaw_gamma_to_log_norm,bb_kt_to_log_norm
12187,-0.31480324797002,-0.74578388507183,-0.86196127420362,0.167588,8.0114,0.066124950169803,0.49947807376304,0.20764933595103,0.0017174712233701,0.0885917617233387,0.0701659066519661,Star,0.8489626530804448,0.0263839124212921,0.7685481163066253,0.8571197166315765,0.8478735186074697,0.0017174712233701,0.0885917617233387,0.0701659066519661,8.0114,0.167588
12188,-0.31480324797002,-0.74578388507183,-0.85821361648969,0.196341,4.26793,0.99989754648642,0.65618948252923,0.21883979273114,0.4306566046389938,0.3572452742262271,0.0487655058852924,Star,0.5646401261404131,0.0485313759515092,0.8992604061009641,0.8906532506688382,0.8388198595946256,0.4306566046389938,0.3572452742262271,0.0487655058852924,4.26793,0.196341
12189,0.1261711430356,-0.45346658338538,-0.3472829481574,0.584404,1.94122,0.098103374092643,0.18135558581718,0.81982492565929,0.009326607190584,0.0249320312521989,0.2872196596585837,QSO,0.3879227845678505,0.2010920073920168,0.8085823760427095,0.8266283382874019,0.8829441896673144,0.009326607190584,0.0249320312521989,0.2872196596585837,1.94122,0.584404
12190,0.09369144284822,-0.20861961274204,-0.11617738913179,0.62661,1.75081,0.15390846365494,0.082103647294985,0.44509773396518,0.0590870030531417,0.0149602308130009,0.1989650921267546,QSO,0.3734608408753269,0.2108453248807084,0.8522632481431994,0.8143451198339109,0.8738089475808934,0.0590870030531417,0.0149602308130009,0.1989650921267546,1.75081,0.62661
12191,0.52342286071205,0.40974391005621,0.89693941286696,1.14752,1.82762,0.057716452492507,0.16830942634429,0.48040067517106,0.0079448107538893,0.0452371226307334,0.082324258441245,Seyfert2,0.379294683084364,0.2954708173362405,0.8047883352147168,0.8409558829442451,0.8518500115542142,0.0079448107538893,0.0452371226307334,0.082324258441245,1.82762,1.14752
12192,0.52342286071205,0.40974391005621,0.84946908182386,1.11617,1.54454,0.076364797197588,0.073787490166617,0.56373921789116,0.0026285720668322,4.538705562697364e-06,0.1029821084699529,Seyfert2,0.3577943048454081,0.2915964592247508,0.7786178012045379,0.6195359830406664,0.8574212036457131,0.0026285720668322,4.538705562697364e-06,0.1029821084699529,1.54454,1.11617
12193,-0.084946908182386,-0.34853216739538,-0.42223610243598,0.387731,2.10305,0.056698219058338,0.11205177604893,0.093094001405637,0.0029441746730727,0.0169430175526021,0.0030526160020177,Seyfert1,0.4002140316019407,0.1437064614273203,0.7813006300507233,0.8173382680911201,0.769866594022863,0.0029441746730727,0.0169430175526021,0.0030526160020177,2.10305,0.387731
12194,0.12742036227358,-0.17988757026858,-0.2423485321674,0.664071,1.73432,0.099398250132374,0.42988639890132,0.17094918175154,0.0049040691023667,0.0908253827275996,0.0166762233199424,QSO,0.3722083990314652,0.2189667799262189,0.7933731654103058,0.8577185348442122,0.8121187001300931,0.0049040691023667,0.0908253827275996,0.0166762233199424,1.73432,0.664071
12195,0.12742036227358,-0.17988757026858,-0.053716427232979,0.706002,1.64799,0.12122234636968,0.15881992592928,0.12480985399759,0.008061604997791,0.0136042450438645,0.0125328909181405,QSO,0.3656514976136008,0.2275308174783959,0.8051336314099797,0.812060139655513,0.8050112387366364,0.008061604997791,0.0136042450438645,0.0125328909181405,1.64799,0.706002
12196,-0.091193004372267,-0.40724547158026,-0.43722673329169,0.598568,2.1844,0.80024555229245,0.40339715755905,0.83783197891008,0.1580567083243403,0.1293959319240546,0.3393584807379384,AGN,0.4063926940639269,0.2044415353512626,0.8755439804868339,0.8662303934521378,0.8870950285491886,0.1580567083243403,0.1293959319240546,0.3393584807379384,2.1844,0.598568
12197,-0.091193004372267,-0.40724547158026,-0.48094940662086,0.447972,2.20673,0.063720249680717,0.082934886180487,0.092400620324532,0.0003878975272546,0.0034038153054076,0.0061475552307365,AGN,0.4080886932375735,0.163906189734884,0.733344208507447,0.7787406126083977,0.7872865482684469,0.0003878975272546,0.0034038153054076,0.0061475552307365,2.20673,0.447972
12198,0.57838850718301,0.51717676452217,0.84447220487195,1.2205,1.24958,0.13208032229816,0.16640947141174,0.57070608406705,0.0095103951035004,0.0153027907395987,0.2922851709319257,AGN,0.3353916216273692,0.3040947915400095,0.809044092841033,0.8148895846713473,0.8833792222537304,0.0095103951035004,0.0153027907395987,0.2922851709319257,1.24958,1.2205
12199,0.1736414740787,-0.32479700187383,-0.30855715178014,0.664989,1.92483,0.039921759631106,0.093536516081297,0.25992519772357,0.0010934196345207,0.0036651808210693,0.0414594760300958,AGN,0.3866779378837454,0.2191599988073031,0.7578643154205984,0.7805197749498333,0.8347810713734524,0.0010934196345207,0.0036651808210693,0.0414594760300958,1.92483,0.664989
12200,-0.65084322298563,-0.69206745783885,-0.36976889444097,0.475813,2.1044,1.0,1.0,1.0,1.254874171952585,1.3182191416920612,1.176743287693308,Star,0.4003165662586546,0.1723394764450426,0.9245649916886294,0.922051970921156,0.9180366074068352,1.254874171952585,1.3182191416920612,1.176743287693308,2.1044,0.475813
12201,-0.089943785134291,-0.32729544034978,-0.47095565271705,0.455539,2.28154,0.19472442451106,0.20357123318956,0.078347660080663,0.0187930702998943,0.0343617079249577,0.0025427478603278,QSO,0.4137706322514787,0.166249079440324,0.8251594299764835,0.8343430032951688,0.7653190130431933,0.0187930702998943,0.0343617079249577,0.0025427478603278,2.28154,0.455539
12202,0.85696439725172,-0.37976264834478,0.74953154278576,10.6937,-1.88278,0.04581109525797,0.044972792894382,0.43541164396704,0.0007131094896123,0.0003625688131907,0.0863096101622337,PartofG,0.0974838754758367,0.6076656082057349,0.747751033289152,0.7248843694815823,0.8530263904614795,0.0007131094896123,0.0003625688131907,0.0863096101622337,-1.88278,10.6937
12203,0.85696439725172,-0.37976264834478,0.67832604622111,101.141,-1.88332,0.046870561484543,0.05141844400074,0.50259074466033,0.0002132338089039,0.000541095951459,0.1174432788723806,PartofG,0.0974428616131511,0.9219317340076444,0.7191868102958692,0.7345131642996958,0.860690923786964,0.0002132338089039,0.000541095951459,0.1174432788723806,-1.88332,101.141
